,Disease,Keyword,Website,Symptoms,,
0,Urticaria Hives,Urticaria,https://www.mayoclinic.org/diseases-conditions/chronic-hives/symptoms-causes/syc-20352719,"Batches of welts (wheals) that can arise anywhere on the body
Welts that might be red, purple or skin-colored, depending on your skin color
Welts that vary in size, change shape, and appear and fade repeatedly
Itchiness (pruritus), which can be intense
Painful swelling (angioedema) around the eyes, cheeks or lips
Flares triggered by heat, exercise or stress
Symptoms that persist for more than six weeks and recur often and anytime, sometimes for months or years",,
0,Urticaria Hives,Dermatographism,,"Raised, inflamed lines where you scratched.
Welts from friction.
Swelling.
Itching.",,
0,Urticaria Hives,Angiodema,https://www.mayoclinic.org/diseases-conditions/hives-and-angioedema/symptoms-causes/syc-20354908,"Welts that form in minutes to hours
Swelling, especially around the eyes, cheeks or lips
Mild pain and warmth in the affected areas",,
0,Benign Tumors,Seborrheic Keratosis,https://www.mayoclinic.org/diseases-conditions/seborrheic-keratosis/symptoms-causes/syc-20353878,"A round or oval-shaped waxy or rough bump, typically on the face, chest, a shoulder or the back
A flat growth or a slightly raised bump with a scaly surface, with a characteristic ""pasted on"" look
Varied size, from very small to more than 1 inch (2.5 centimeters) across
Varied number, ranging from a single growth to multiple growths
Very small growths clustered around the eyes or elsewhere on the face, sometimes called flesh moles or dermatosis papulosa nigra, common on Black or brown skin
Varied in color, ranging from light tan to brown or black
Itchiness
",,
0,Benign Tumors,Epidermal Cyst,https://www.mayoclinic.org/diseases-conditions/epidermoid-cysts/symptoms-causes/syc-20352701,"
A small, round bump under the skin, usually on the face, neck or trunk
A tiny blackhead plugging the central opening of the cyst
A thick, yellow, smelly material that sometimes drains from the cyst
Redness, swelling and tenderness in the area, if inflamed or infected
",,
0,Benign Tumors,Sebaceous Hyperplasia,https://www.healthline.com/health/skin-lumps/sebaceous-hyperplasia,"yellowish or flesh-colored bumps on the skin. These bumps are shiny and usually on the face, especially the forehead and nose. They are also small, usually between 2 and 4 millimeters wide, and painless. Bumps from basal cell carcinoma are usually red or pink and much larger than those of sebaceous hyperplasia. ",,
0,Benign Tumors,Keloid,https://www.mayoclinic.org/diseases-conditions/keloid-scar/symptoms-causes/syc-20520901,"
Thick, irregular scarring, typically on the earlobes, shoulders, cheeks or middle chest
Shiny, hairless, lumpy, raised skin
Varied size, depending on the size of the original injury and when the keloid stops growing
Varied texture, from soft to firm and rubbery
Reddish, brown or purplish, depending on your skin color
Itchiness
Discomfort
",,
0,Poison Ivy and Contact Dermatitis,Poison Ivy,https://www.mayoclinic.org/diseases-conditions/poison-ivy/symptoms-causes/syc-20376485,"
Redness
Itching
Swelling
Blisters
Difficulty breathing, if you've inhaled the smoke from burning poison ivy",,
0,Poison Ivy and Contact Dermatitis,Contact Dermatitis,https://www.mayoclinic.org/diseases-conditions/contact-dermatitis/symptoms-causes/syc-20352742,"
An itchy rash
Leathery patches that are darker than usual (hyperpigmented), typically on brown or Black skin
Dry, cracked, scaly skin, typically on white skin
Bumps and blisters, sometimes with oozing and crusting
Swelling, burning or tenderness
See your health care provider if:
The rash is so itchy that you can't sleep or go about your day
The rash is severe or widespread
You're worried about how your rash looks
The rash doesn't get better within three weeks
The rash involves the eyes, mouth, face or genitals
",,
0,Acne and Rosacea,Acne,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047,"
Whiteheads (closed plugged pores)
Blackheads (open plugged pores)
Small red, tender bumps (papules)
Pimples (pustules), which are papules with pus at their tips 
Large, solid, painful lumps under the skin (nodules)
Painful, pus-filled lumps under the skin (cystic lesions)
Acne usually appears on the face, forehead, chest, upper back and shoulders.",,
0,Acne and Rosacea,Rosacea,https://www.mayoclinic.org/diseases-conditions/rosacea/symptoms-causes/syc-20353815,"
Facial redness and flushing. Rosacea can make your face flush more easily. Over time, you may notice that your face stays red. Depending on skin color, redness may be subtle or look more pink or purple.
Visible veins. Small blood vessels of the nose and cheeks break and become larger. These are also called spider veins. They may be subtle and hard to see, depending on skin color.
Swollen bumps. Many people with rosacea develop pimples on the face that look like acne. These bumps sometimes contain pus. They also may appear on the chest and back.
Burning sensation. The skin of the affected area may feel hot and tender.
Eye problems. Many people with rosacea also have dry, irritated, swollen eyes and eyelids. This is known as ocular rosacea. Eye symptoms may show up before, after or at the same time as skin symptoms.
Enlarged nose. Over time, rosacea can thicken the skin on the nose, causing the nose to look bigger. This condition also is called rhinophyma. It occurs more often in men than in women.",,
0,Acne and Rosacea,Hidradenitis suppurativa,https://www.mayoclinic.org/diseases-conditions/hidradenitis-suppurativa/symptoms-causes/syc-20352306,"
Blackheads. Blackheads appear in small, pitted areas of skin, often appearing in pairs.
Painful pea-sized lumps. The condition usually starts with a single, painful lump under the skin that persists for weeks or months. More bumps may form later, usually in areas where you have more sweat and oil glands or where the skin rubs together, such as the armpits, groin, buttocks and breasts.
Leaking bumps or sores. Some bumps or sores get bigger, break open and drain pus with an odor.
Tunnels. Over time, tunnels might form under the skin, connecting the lumps. These wounds heal slowly, if at all, and drain blood and pus.
",,
0,Acne and Rosacea,Perioral Dermatitis,https://www.aad.org/public/diseases/a-z/perioral-dermatitis,"If you have a rash around your mouth, you may have perioral dermatitis.This rash often looks like small, red, acne-like breakouts in people with light-colored skin and skin-colored breakouts in people who have skin of color.Perioral dermatitis causes a rash, which often looks like acne.Whether red or skin colored, this rash can itch. Sometimes, the rash causes a burning sensation.It’s also possible that you won’t have any itching or burning. You’ll likely have dry and flaky skin where you have the rash, though.While this rash often develops around the mouth, it can also appear around your eyes or nose. You may have the rash around your mouth and nose or your nose and eyes.",,
0,Vascular Tumors,Hemangioma,https://www.mayoclinic.org/diseases-conditions/hemangioma/symptoms-causes/syc-20352334,"A hemangioma may be visible at birth, but it appears more often during the first month of life. It starts as a flat red mark on the body, most often on the face, scalp, chest or back. A child generally only has one mark, but some children may have more than one mark.During your child's first year, the red mark may grow rapidly into a spongy, rubbery-looking bump that sticks out from the skin. The hemangioma then enters a rest phase. Then it will begin to slowly go away.Many hemangiomas go away by age 5, and most go away by age 10. The skin may be slightly discolored or raised after the hemangioma goes away.",,
0,Vascular Tumors,Kaposi sarcoma,https://www.mayoclinic.org/diseases-conditions/kaposis-sarcoma/cdc-20387726,"A noticeable lump or swelling.
Pain, if the growth presses on nerves or muscles.",,
0,Vascular Tumors,Angiokeratoimas,https://my.clevelandclinic.org/health/diseases/23278-angiokeratoma,"Angiokeratomas are hard bumps on your skin. The condition occurs when tiny blood vessels called capillaries get bigger or break open near your skin’s surface and the surface of your skin thickens. Red, blue, purple or black bumps form underneath your skin. Angiokeratomas are a type of noncancerous (benign) tumor.",,
0,Vascular Tumors,Angioma,https://www.mayoclinic.org/diseases-conditions/hemangioma/symptoms-causes/syc-20352334,"A hemangioma may be visible at birth, but it appears more often during the first month of life. It starts as a flat red mark on the body, most often on the face, scalp, chest or back. A child generally only has one mark, but some children may have more than one mark.During your child's first year, the red mark may grow rapidly into a spongy, rubbery-looking bump that sticks out from the skin. The hemangioma then enters a rest phase. Then it will begin to slowly go away.Many hemangiomas go away by age 5, and most go away by age 10. The skin may be slightly discolored or raised after the hemangioma goes away.Your child's health care provider will check the hemangioma during routine visits.

",,
0,Vascular Tumors,Pyogenic granulomas,https://my.clevelandclinic.org/health/diseases/22717-pyogenic-granuloma,"A pyogenic granuloma starts as a small, fleshy bump protruding from your skin or mucous membranes. It usually grows quickly, from a few millimeters (the tip of a crayon) to about a half-inch (the tip of a finger).

Pyogenic granulomas have been described as looking like ground beef. They may be pink, red, reddish-brown or purple. They often develop a scaly, white �collar� around the bottom.

At maturity, the growths are often attached to your skin by a stalk-like structure (pedunculated). But they can also attach directly to your skin (sessile).

The surface of a pyogenic granuloma starts smooth but can become bumpy or crusty. The lesions are delicate, so they ooze, break and bleed easily.",,
0,Vascular Tumors,Telangiectasia,https://www.mayoclinic.org/diseases-conditions/hht/symptoms-causes/syc-20351135,"Nosebleeds, sometimes on a daily basis and often starting in childhood
Lacy red vessels or tiny red spots, particularly on the lips, face, fingertips, tongue and inside surfaces of the mouth
Iron deficiency anemia
Shortness of breath
Headaches
Seizures
HHT is a genetic disorder you inherit from your parents. It is an autosomal dominant disorder, which means that if one of your parents has HHT, you have a 50 percent chance of inheriting it. If you have HHT, each of your children has a 50 percent chance of inheriting it from you.",,
0,Eczema,Dermatitis,https://www.mayoclinic.org/diseases-conditions/contact-dermatitis/symptoms-causes/syc-20352742,"
An itchy rash
Leathery patches that are darker than usual (hyperpigmented), typically on brown or Black skin
Dry, cracked, scaly skin, typically on white skin
Bumps and blisters, sometimes with oozing and crusting
Swelling, burning or tenderness
See your health care provider if:
The rash is so itchy that you can't sleep or go about your day
The rash is severe or widespread
You're worried about how your rash looks
The rash doesn't get better within three weeks
The rash involves the eyes, mouth, face or genitals",,
0,Eczema,Fissured,https://www.mayoclinic.org/diseases-conditions/anal-fissure/symptoms-causes/syc-20351424,"Pain during bowel movements.
Pain after bowel movements that can last up to several hours.
Bright red blood on the stool or toilet paper after a bowel movement.
A visible crack in the skin around the anus.
A small lump or skin tag on the skin near the anal fissure.",Wrong disease,
0,Eczema,Dyshidrosis,https://www.mayoclinic.org/diseases-conditions/dyshidrosis/symptoms-causes/syc-20352342,"Painful, itchy and fluid-filled blisters on the sides of the fingers, the palms of the hands and the bottoms of the feet. The blisters are small and about the width of a standard pencil lead. They are grouped in clusters and can look like tapioca.With severe disease, the small blisters can merge to form larger blisters. Skin affected by dyshidrosis can be painful and very itchy. After a few weeks, the blisters dry and flake off.",,
0,Eczema,Dry,https://www.mayoclinic.org/diseases-conditions/dry-skin/symptoms-causes/syc-20353885,"A feeling of skin tightness
Skin that feels and looks rough
Itchiness (pruritus)
Slight to severe flaking skin, which causes the ashy look that can affect dry brown and black skin
Slight to severe scaling or peeling
Cracked ""dry riverbed"" look to leg
Fine lines or cracks
Skin that ranges from reddish on white skin to grayish on brown and black skin
Deep cracks that may bleed",,
0,Eczema,Keratolysis Exfoliativa,https://dermnetnz.org/topics/keratolysis-exfoliativa,"The first sign of keratolysis exfoliativa is one or more superficial air-filled blisters on the fingers or palms. The blisters burst to leave expanding collarettes of scale and circular or oval, tender, erythematous peeled areas. These peeled areas lack a normal barrier function and may become dry and cracked. However, they are not generally itchy.

Sometimes on the ends of the fingers, the split in the skin is deeper, in which case the skin feels hard and numb and takes longer to peel off. There can be multiple layers of peeling skin (lamellae).

Eventually normal skin forms, but frequently exfoliative keratolysis recurs within a few weeks.",,
0,Eczema,Lichen Simplex Chronicus,https://www.mayoclinic.org/diseases-conditions/neurodermatitis/symptoms-causes/syc-20375634,"An itchy, scaly skin patch or patches
Open sores that bleed
Thick, leathery skin
Discolored, wrinkled genital skin
Raised, rough patches that are inflamed or darker than the rest of the skin
The condition involves areas that can be reached for scratching like the scalp, neck, wrists, forearms, ankles, vulva, scrotum and anus. The itchiness, which can be intense, may come and go or be nonstop. You may scratch your skin out of habit and while sleeping.",,
0,Eczema,Maceration,https://www.mayoclinic.org/diseases-conditions/dry-macular-degeneration/symptoms-causes/syc-20350375,"Dry macular degeneration symptoms usually develop gradually and without pain. They may include:
Visual distortions, such as straight lines seeming bent.
Reduced central vision in one or both eyes.
The need for brighter light when reading or doing close-up work.
Increased difficulty adapting to low light levels, such as when entering a dimly lit restaurant or theater.
Increased blurriness of printed words.
Difficulty recognizing faces.
A well-defined blurry spot or blind spot in the field of vision.
Dry macular degeneration can affect one or both eyes. If only one eye is affected, you may not notice any changes in your vision. This is because your good eye may compensate for the affected eye. And the condition doesn't affect the side vision, so it does not cause total blindness.Dry macular degeneration is one of two types of age-related macular degeneration. It can progress to wet macular degeneration, which is when blood vessels grow and leak under the retina. The dry type is more common, but it usually progresses slowly over years. The wet type is more likely to cause a relatively sudden change in vision resulting in serious vision loss.See your eye doctor if:
You notice changes, such as distortion or blind spots, in your central vision.
You lose the ability to see fine detail.
These changes may be the first sign of macular degeneration, particularly if you're over age 60.No one knows exactly what causes dry macular degeneration. Research indicates that it may be a combination of family genes and environmental factors, including smoking, obesity and diet.The condition develops as the eye ages. Dry macular degeneration affects the macula. The macula is the area of the retina that's responsible for clear vision in the direct line of sight. Over time, tissue in the macula may thin and lose cells responsible for vision.Factors that may increase your risk of macular degeneration include:
Age. This disease is most common in people over 60.
Family history and genetics. This disease has a hereditary component. Researchers have identified several genes linked to the condition.
Race. Macular degeneration is more common in white people.
Smoking. Smoking cigarettes or being regularly exposed to tobacco smoke greatly increases your risk of macular degeneration.
Obesity. Research indicates that being obese may increase your chance that early or intermediate macular degeneration will progress to the more severe form of the disease.
Cardiovascular disease. If you have heart or blood vessel disease, you may be at higher risk of macular degeneration.
People whose dry macular degeneration has progressed to central vision loss have a higher risk of depression and social isolation. With profound loss of vision, people may see visual hallucinations. This condition is called Charles Bonnet syndrome. Dry macular degeneration may progress to wet macular degeneration, which can quickly cause vision loss if left untreated.It's important to have routine eye exams to identify early signs of macular degeneration. The following measures may help reduce your risk of developing dry macular degeneration:
Manage all medical conditions. For example, if you have cardiovascular disease or high blood pressure, take your medicine and follow your health care provider's instructions for controlling the condition.
Don't smoke. Smokers are more likely to develop macular degeneration than are nonsmokers. Ask your provider for help stopping smoking.
Maintain a healthy weight and exercise regularly. If you need to lose weight, reduce the number of calories you eat and increase the amount of exercise you get each day.
Choose a diet rich in fruits and vegetables. These foods contain antioxidant vitamins that reduce your risk of developing macular degeneration.
Include fish in your diet. Omega-3 fatty acids, which are found in fish, may reduce the risk of macular degeneration. Nuts such as walnuts also contain omega-3 fatty acids.


",,
0,Eczema,Milroy Disease,https://www.mayoclinic.org/diseases-conditions/lymphedema/symptoms-causes/syc-20374682,"Swelling of part or all of the arm or leg, including fingers or toes
A feeling of heaviness or tightness
Restricted range of motion
Recurring infections
Hardening and thickening of the skin (fibrosis)",,
0,Eczema,Phlesbitis Superficial,https://www.mayoclinic.org/diseases-conditions/thrombophlebitis/symptoms-causes/syc-20354607,"Warmth, tenderness, and pain. You might have redness and swelling and see a red, hard cord just under the surface of your skin that's tender to the touch. Symptoms of deep vein thrombosis include swelling, tenderness, and pain in your leg.",,
0,Eczema,Pompholyx,https://www.mayoclinic.org/diseases-conditions/dyshidrosis/symptoms-causes/syc-20352342,"Painful, itchy and fluid-filled blisters on the sides of the fingers, the palms of the hands and the bottoms of the feet. The blisters are small and about the width of a standard pencil lead. They are grouped in clusters and can look like tapioca.With severe disease, the small blisters can merge to form larger blisters. Skin affected by dyshidrosis can be painful and very itchy. After a few weeks, the blisters dry and flake off.",,
