Disease,Keyword,Website,Symptoms
Lupus and other Connective Tissue diseases,Acroyanosis,https://my.clevelandclinic.org/health/diseases/acrocyanosis,"Acrocyanosis is a condition that causes your hands or feet (and sometimes other areas of your body) to turn a bluish, white or gray color. It occurs when an artery tightens for longer than it should (vasospasm), causing your blood vessels to narrow. As a result, your surrounding tissues receive less blood and oxygen and become discolored. Another name for acrocyanosis is peripheral cyanosis.

Blue or gray hands, feet, fingers or toes (most common).
Blue or gray wrists, ankles, nipples, ears or nose (less common).
Sweaty or clammy hands and feet.
Swelling in your hands and feet.
Slower blood flow.
Lower skin temperature."
Lupus and other Connective Tissue diseases,Acroyanosis,https://www.healthline.com/health/acrocyanosis,"Hands and feet are the extremities most often affected by acrocyanosis. But its symptoms can develop in several different areas, including your:wristsanklesnoseearslipsnipplesThe symptoms are symmetrical in primary acrocyanosis, affecting both hands or both feet. In secondary acrocyanosis, symptoms often affect only one side, may be painful, or may involve tissue loss.The most common symptoms are:bluish-colored fingers or toescold, clammy, and sweaty hands and feetlower skin temperatures and blood flowswelling of hands and feeta normal pulseSymptoms worsen with cold and improve with warmth. Finger color goes back to usual when you move your hands to a horizontal position, from hanging down.Most newborns have blue hands and feet right after birth and in their first few hours, according to experts. The acrocyanosis symptoms may come back when the baby is cold or when the baby first comes out of a bath. However, the condition doesn't persist in infants.People with acrocyanosis might have extremities that look like the following:"
Lupus and other Connective Tissue diseases,Acroyanosis,https://www.verywellhealth.com/acrocyanosis-overview-4582606,"If you have ever gotten out of a cold pool and noticed a blue tinge in your hands and feet, then you’ve had acrocyanosis. Acrocyanosis does not hurt but it can be alarming to see. It can be the result of a blood vessel abnormality, but it’s most often from something in your environment—like cold temperatures.3

The hands and feet are most commonly affected in acrocyanosis. However, the condition can also affect the nose, ears, lips, nipples, wrists, and ankles.

The most common symptoms of acrocyanosis are:4

Blue-colored fingers or toes
Cold and sweaty hands and feet
Low skin temperatures
Slow blood flow
Swelling in hands and feet"
Lupus and other Connective Tissue diseases,Acroyanosis,https://dermnetnz.org/topics/acrocyanosis,"Primary acrocyanosis
Primary acrocyanosis presents with bilateral, symmetrical, painless and persistent blue discolouration of fingers and toes. Acrocyanosis may extend to include hands, feet and face. Pressure on an area of blanching leads to a slow and irregular return of blood from the periphery towards the centre (Crocq sign). Arterial pulses are normal, and there is no proximal pallor, ulceration or gangrene.

Clinical features of acrocyanosis may also include:

Hyperhidrosis of hands and feet
Cold hands and feet
Swelling of digits
Secondary acrocyanosis
The presentation of secondary acrocyanosis varies depending on the underlying cause. Secondary acrocyanosis is often asymmetrical and is associated with pain and tissue damage (blue toe syndrome).

Signs of a primary disorder may be present."
Lupus and other Connective Tissue diseases,Acroyanosis,https://www.msdmanuals.com/en-sg/home/heart-and-blood-vessel-disorders/peripheral-arterial-disease/acrocyanosis,"Acrocyanosis, a functional peripheral arterial disease, is a persistent, painless bluish discoloration of both hands and, less commonly, of both feet, caused by spasm of the small blood vessels within the skin, usually in response to cold or emotional stress.
(See also Overview of Functional Peripheral Arterial Disease.)

Acrocyanosis usually occurs in women. The fingers and hands or toes and feet tend to feel cold and to be bluish (cyanosis). Hands or feet sometimes sweat profusely and may swell. Emotional stress or exposure to cold usually intensifies the bluish discoloration, and warming reduces it. The disorder is not painful and does not damage the skin.

Doctors diagnose the disorder based on symptoms that are limited to the person’s hands or feet and that persist even though pulses in the larger arteries (such as in the wrist and ankle) are normal."
Atopic Dermatitis,Atopic,https://www.mayoclinic.org/diseases-conditions/atopic-dermatitis-eczema/symptoms-causes/syc-20353273,"Atopic dermatitis (eczema) symptoms can appear anywhere on the body and vary widely from person to person. They may include:
Dry, cracked skin
Itchiness (pruritus)
Rash on swollen skin that varies in color depending on your skin color
Small, raised bumps, on brown or Black skin
Oozing and crusting
Thickened skin
Darkening of the skin around the eyes
Raw, sensitive skin from scratching
Atopic dermatitis often begins before age 5 and may continue into the teen and adult years. For some people, it flares and then clears up for a time, even for several years."
Atopic Dermatitis,Atopic,https://en.wikipedia.org/wiki/Atopic_dermatitis,"
Symptoms refer to the sensations that people with AD feel, whereas signs refers to a description of the visible changes that result from AD."
Atopic Dermatitis,Atopic,https://www.niams.nih.gov/health-topics/atopic-dermatitis,"Red, dry patches of skin.
Rashes that that may ooze, weep clear fluid, or bleed when scratched.
Thickening and hardening of the skin."
Atopic Dermatitis,Atopic,https://www.msdmanuals.com/en-sg/professional/dermatologic-disorders/dermatitis/atopic-dermatitis-eczema,"Atopic dermatitis usually appears in infancy, as early as 3 months of age.

In the acute phase, lesions are intensely pruritic, red, thickened, scaly patches or plaques that may become eroded due to scratching.

In the chronic phase, scratching and rubbing create skin lesions that appear dry and lichenified.

Distribution of lesions is age specific. In infants, lesions characteristically occur on the face, scalp, neck, eyelids, and extensor surfaces of the extremities. In older children and adults, lesions occur on flexural surfaces such as the neck and the antecubital and popliteal fossae.

Intense pruritus is a key feature. Itch often precedes lesions and worsens with dry air, sweating, local irritation, wool garments, and emotional stress.

Common environmental triggers of symptoms include

Excessive bathing or washing
Harsh soaps
Staphylococcus aureus skin colonization
Sweating
Rough fabrics and wool"
Atopic Dermatitis,Atopic,https://medlineplus.gov/ency/article/000853.htm,"Skin changes may include:Blisters with oozing and crustingDry skin all over the body, or areas of bumpy skin on the back of the arms and front of the thighsEar discharge or bleedingRaw areas of the skin from scratchingSkin color changes, such as more or less color than the normal skin toneSkin redness or inflammation around the blistersThickened or leather-like areas, which can occur after long-term irritation and scratching The type and location of the rash can depend on the age of the person:In children younger than age 2, the rash may begin on the face, scalp, hands, and feet. The rash is often itchy and forms blisters that ooze and crust over.In older children and adults, the rash is more often seen on the inside of the knees and elbow. It can also appear on the neck, hands, and feet.In adults, the rash may be limited to the hands, eyelids, or genitals.Rashes may occur anywhere on the body during a bad outbreak. Intense itching is common. Itching may start even before the rash appears. Atopic dermatitis is often called the ""itch that rashes"" because the itching starts, and then the skin rash follows as a result of scratching."
