,Disease,Symptoms
445,Atopic Dermatitis,"Symptoms of keratosis pilaris may include:You usually get patches of small bumps on your arms, thighs or bottom, but they can appear in other places.The bumps are usually the colour of your skin. They can also be red on white skin or brownish-black on darker skin.The skin can sometimes feel itchy, and may be better in summer and worse in winter."
44,Atopic Dermatitis,"Keratosis pilaris can occur at any age, but it's more common in young children. Symptoms include:
Painless tiny bumps on the upper arms, thighs, cheeks or buttocks
Dry, rough skin in the areas with bumps
Worsening when seasonal changes cause low humidity and dry skin
Sandpaper-like bumps resembling goose flesh
Treatment for keratosis pilaris usually isn't needed. But if you're concerned about your or your child's skin, consult your health care provider or a specialist in skin conditions (dermatologist).Keratosis pilaris is caused by the buildup of keratin â a hard protein that protects skin from harmful substances and infection. The keratin blocks the opening of hair follicles, causing patches of rough, bumpy skin.It's not clear why keratin builds up in people with keratosis pilaris. It might happen along with a genetic disease or skin conditions such as atopic dermatitis. Dry skin tends to make keratosis pilaris worse.

"
45,Atopic Dermatitis,"Actinic keratoses vary in appearance. Symptoms include:
Rough, dry or scaly patch of skin, usually less than 1 inch (2.5 centimeters) in diameter
Flat to slightly raised patch or bump on the top layer of skin
In some cases, a hard, wartlike surface
Color variations, including pink, red or brown
Itching, burning, bleeding or crusting
New patches or bumps on sun-exposed areas of the head, neck, hands and forearms
"
404,Atopic Dermatitis,"Symptoms of seborrheic keratosis are skin growths that:Are located on the face, chest, shoulders, back, or other areas, except the lips, palms, and solesAre painless, but may become irritated and itchyAre most often tan, brown, or blackHave a slightly raised, flat surfaceMay have a rough texture (like a wart)Often have a waxy surfaceAre round or ovalMay look like a piece of bee's wax that has been ""pasted-on"" the skinOften appear in clusters "
403,Atopic Dermatitis,"Symptoms may include:Small bumps that look like ""goose bumps"" on the back of the upper arms and thighsBumps feel like very rough sandpaperSkin-colored bumps are the size of a grain of sandSlight pinkness may be seen around some bumpsBumps may appear on the face and be mistaken for acne "
28,Atopic Dermatitis,"Eyelid dermatitis develops when the folds of skin above and below your eyes come into contact with an allergen or irritant. Itâs a form of contact dermatitis. The symptoms are annoying, but shouldnât interfere with your daily life."
27,Atopic Dermatitis,"Paget's disease of the breast affects your nipple and usually the skin (areola) surrounding it. It's easy to mistake the signs and symptoms of Paget's disease of the breast for skin irritation (dermatitis) or another noncancerous (benign) skin condition.Possible signs and symptoms of Paget's disease of the breast include:
Flaky or scaly skin on your nipple
Crusty, oozing or hardened skin resembling eczema on the nipple, areola or both
Itching
Redness
A tingling or burning sensation
Straw-colored or bloody nipple discharge
A flattened or turned-in (inverted) nipple
A lump in the breast
Thickening skin on the breast
"
26,Atopic Dermatitis,"Contact dermatitis shows up on skin that has been directly exposed to the substance causing the reaction. For example, the rash may show up along a leg that brushed against poison ivy. The rash can develop within minutes to hours of exposure, and it can last 2 to 4 weeks.Signs and symptoms of contact dermatitis vary widely and may include:
An itchy rash
Leathery patches that are darker than usual (hyperpigmented), typically on brown or Black skin
Dry, cracked, scaly skin, typically on white skin
Bumps and blisters, sometimes with oozing and crusting
Swelling, burning or tenderness
See your health care provider if:
The rash is so itchy that you can't sleep or go about your day
The rash is severe or widespread
You're worried about how your rash looks
The rash doesn't get better within three weeks
The rash involves the eyes, mouth, face or genitals
Seek immediate medical care in the following situations:
You think your skin is infected. Clues include fever and pus oozing from blisters.
It's hard to breathe after inhaling burning weeds.
Your eyes or nasal passages hurt after inhaling smoke from burning poison ivy.
You think an ingested substance has damaged the lining of your mouth or digestive tract.
Contact dermatitis is caused by exposure to a substance that irritates your skin or triggers an allergic reaction. The substance could be one of thousands of known allergens and irritants. Often people have irritant and allergic reactions at the same time.Irritant contact dermatitis is the most common type. This nonallergic skin reaction occurs when an irritant damages your skin's outer protective layer.Some people react to strong irritants after a single exposure. Others may develop a rash after repeated exposures to even mild irritants, such as soap and water. And some people develop a tolerance to the substance over time.Common irritants include:
Solvents
Rubber gloves
Bleach and detergents
Hair products
Soap
Airborne substances
Plants
Fertilizers and pesticides
Allergic contact dermatitis occurs when a substance to which you're sensitive (allergen) triggers an immune reaction in your skin. It often affects only the area that came into contact with the allergen. But it may be triggered by something that enters your body through foods, flavorings, medicine, or medical or dental procedures (systemic contact dermatitis).People often become sensitized to allergens after many contacts with it over years. Once you develop an allergy to a substance, even a small amount of it can cause a reaction.Common allergens include:
Nickel, which is used in jewelry, buckles and many other items
Medications, such as antibiotic creams
Balsam of Peru, which is used in many products, such as perfumes, toothpastes, mouth rinses and flavorings
Formaldehyde, which is in preservatives, cosmetics and other products
Personal care products, such as body washes, hair dyes and cosmetics
Plants such as poison ivy and mango, which contain a highly allergenic substance called urushiol
Airborne allergens, such as ragweed pollen and spray insecticides
Products that cause a reaction when you're in the sun (photoallergic contact dermatitis), such as some sunscreens and cosmetics
Children develop allergic contact dermatitis from the usual offenders and also from exposure to diapers, baby wipes, jewelry used in ear piercing, clothing with snaps or dyes, and so on.The risk of contact dermatitis may be higher in people who have certain jobs and hobbies. Examples include:
Agricultural workers
Cleaners
Construction workers
Cooks and others who work with food
Florists
Hair stylists and cosmetologists
Health care workers, including dental workers
Machinists
Mechanics
Scuba divers or swimmers, due to the rubber in face masks or goggles
Contact dermatitis can lead to an infection if you repeatedly scratch the affected area, causing it to become wet and oozing. This creates a good place for bacteria or fungi to grow and may cause an infection.You can take the following steps to help prevent contact dermatitis:
Avoid irritants and allergens. Try to identify and avoid the cause of your rash. For ear and body piercings, use jewelry made of hypoallergenic material, such as surgical steel or gold.
Wash your skin. For poison ivy, poison oak or poison sumac, you might be able to remove most of the rash-causing substance if you wash your skin right away after coming into contact with it. Use a mild, fragrance-free soap and warm water. Rinse completely. Also wash any clothing or other items that may have come into contact with a plant allergen, such as poison ivy.
Wear protective clothing or gloves. Face masks, goggles, gloves and other protective items can shield you from irritating substances, including household cleansers.
Apply an iron-on patch to cover metal fasteners next to your skin. This can help you avoid a reaction to jean snaps, for example.
Apply a barrier cream or gel. These products can provide a protective layer for your skin. For example, a nonprescription skin cream containing bentoquatam (Ivy Block) may prevent or lessen your skin's reaction to poison ivy.
Use moisturizer. Regularly applying moisturizing lotions can help restore your skin's outermost layer and keep your skin supple.
Take care around pets. Allergens from plants, such as poison ivy, can cling to pets and then be spread to people. Bathe your pet if you think it got into poison ivy or something similar.


"
87,Atopic Dermatitis,"Hypopigmentation is a lightening of your skin color. Injuries or skin conditions are the primary cause of hypopigmentation. Treatment depends on what caused hypopigmentation, but it may involve medications or therapies. If you have scars or albinism, thereâs no treatment available."
25,Atopic Dermatitis,"Atopic dermatitis (eczema) symptoms can appear anywhere on the body and vary widely from person to person. They may include:
Dry, cracked skin
Itchiness (pruritus)
Rash on swollen skin that varies in color depending on your skin color
Small, raised bumps, on brown or Black skin
Oozing and crusting
Thickened skin
Darkening of the skin around the eyes
Raw, sensitive skin from scratching
Atopic dermatitis often begins before age 5 and may continue into the teen and adult years. For some people, it flares and then clears up for a time, even for several years.Talk with a health care provider if you or your child:
Has symptoms of atopic dermatitis
Is so uncomfortable that the condition is affecting sleep and daily activities
Has a skin infection â look for new streaks, pus, yellow scabs
Has symptoms even after trying self-care steps
Seek immediate medical attention if you or your child has a fever and the rash looks infected.In some people, atopic dermatitis is related to a gene variation that affects the skin's ability to provide protection. With a weak barrier function, the skin is less able to retain moisture and protect against bacteria, irritants, allergens and environmental factors â such as tobacco smoke.In other people, atopic dermatitis is caused by too much of the bacteria Staphylococcus aureus on the skin. This displaces helpful bacteria and disrupts the skin's barrier function.A weak skin barrier function might also trigger an immune system response that causes the inflamed skin and other symptoms.Atopic dermatitis (eczema) is one of several types of dermatitis. Other common types are contact dermatitis and seborrheic dermatitis (dandruff). Dermatitis isn't contagious.The main risk factor for atopic dermatitis is having had eczema, allergies, hay fever or asthma in the past. Having family members with these conditions also increases your risk.Complications of atopic dermatitis (eczema) may include:
Asthma and hay fever. Many people with atopic dermatitis develop asthma and hay fever. This can happen before or after developing atopic dermatitis.
Food allergies. People with atopic dermatitis often develop food allergies. One of the main symptoms of this condition is hives (urticaria).
Chronic itchy, scaly skin. A skin condition called neurodermatitis (lichen simplex chronicus) starts with a patch of itchy skin. You scratch the area, which provides only temporary relief. Scratching actually makes the skin itchier because it activates the nerve fibers in your skin. Over time, you may scratch out of habit. This condition can cause the affected skin to become discolored, thick and leathery.
Patches of skin that's darker or lighter than the surrounding area. This complication after the rash has healed is called post-inflammatory hyperpigmentation or hypopigmentation. It's more common in people with brown or Black skin. It might take several months for the discoloration to fade.
Skin infections. Repeated scratching that breaks the skin can cause open sores and cracks. These increase the risk of infection from bacteria and viruses. These skin infections can spread and become life-threatening.
Irritant hand dermatitis. This especially affects people whose hands are often wet and exposed to harsh soaps, detergents and disinfectant at work.
Allergic contact dermatitis. This condition is common in people with atopic dermatitis. Allergic contact dermatitis is an itchy rash caused by touching substances you're allergic to. The color of the rash varies depending on your skin color.
Sleep problems. The itchiness of atopic dermatitis can interfere with sleep.
Mental health conditions. Atopic dermatitis is associated with depression and anxiety. This may be related to the constant itching and sleep problems common among people with atopic dermatitis.
Developing a basic skin care routine may help prevent eczema flares. The following tips may help reduce the drying effects of bathing:

Moisturize your skin at least twice a day. Creams, ointments, shea butter and lotions seal in moisture. Choose a product or products that work well for you. Ideally, the best one for you will be safe, effective, affordable and unscented.
Using petroleum jelly on your baby's skin may help prevent development of atopic dermatitis.

Take a daily bath or shower. Use warm, rather than hot, water and limit your bath or shower to about 10 minutes.
Use a gentle, nonsoap cleanser. Choose a cleanser that's free of dyes, alcohols and fragrance. For young children, you usually need only warm water to get them clean â no soap or bubble bath needed. Soap can be especially irritating to the skin of young children. For people of any age, deodorant soaps and antibacterial soaps can remove too much of the skin's natural oils and dry the skin. Don't scrub the skin with a washcloth or loofah.
Pat dry. After bathing, gently pat the skin with a soft towel. Apply moisturizer while your skin is still damp (within three minutes).
The triggers for atopic dermatitis vary widely from person to person. Try to identify and avoid irritants that trigger your eczema. In general, avoid anything that causes an itch because scratching often triggers a flare.Common triggers for atopic dermatitis include:
Rough wool fabric
Dry skin
Skin infection
Heat and sweat
Stress
Cleaning products
Dust mites and pet dander
Mold
Pollen
Smoke from tobacco
Cold and dry air
Fragrances
Other irritating chemicals
Infants and children may have flares triggered by eating certain foods, such as eggs and cow's milk. Talk with your child's health care provider about identifying potential food allergies.Once you understand what triggers your eczema, talk with your health care provider about how to manage your symptoms and prevent flares.

"
